"","XML_FileName","Lat","Long","Altitude","RWL_Count","CRN_Count","SpeciesLong","GenusSpp","Genus","Family","Order","Group","ModNegExp","SE_ModNegExp","P_ModNegExp","Mean","SE_Mean","P_Mean","AgeDepSpline","SE_AgeDepSpline","P_AgeDepSpline","N_years"
"AZ559","noaa-tree-2659.xml",32.72,-109.92,3020,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TURK034","noaa-tree-2661.xml",41.5,33,1050,1,1,"Quercus spp. L.","Quercus spp.","Quercus","Fagaceae","Fagales","Angiosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWED312","noaa-tree-2666.xml",60.45,14.73,200,1,0,"Picea abies (L.) H. Karst.","Picea abies","Picea","Pinaceae","Pinales","Gymnosperms",0.0425748470638599,0.0123345975663868,0.000812081928066801,0.0317764451746406,0.0103433354448539,0.00272514489516604,0.0723907259123378,0.0163081695592891,2.29373985153325e-05,5
"SWED305","noaa-tree-2667.xml",60.45,14.73,200,1,0,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWED307","noaa-tree-2668.xml",58.95,15.03,130,1,0,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",0.0855726477573268,0.0241272752512708,0.000779736820934291,0.0747489666037923,0.0196073493528436,0.000335689857198573,0.114014494590126,0.0300732029613604,0.000359295452349821,4
"NC4","noaa-tree-2680.xml",35.28,-83.93,1300,1,0,"Tsuga canadensis (L.) Carr.","Tsuga canadensis","Tsuga","Pinaceae","Pinales","Gymnosperms",-0.00569736890498693,0.00255100077473143,0.0292018721465858,-0.00624095036869089,0.00242748699017043,0.0125971119405087,-0.00295288246608497,0.00261543353967207,0.26330903448874,63
"CANA200","noaa-tree-2723.xml",57.55,-106.88,510,1,0,"Pinus banksiana Lamb.","Pinus banksiana","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWIT179","noaa-tree-2737.xml",46.77,9.82,1800,1,3,"Picea abies (L.) H. Karst.","Picea abies","Picea","Pinaceae","Pinales","Gymnosperms",-0.0841528007046422,0.0113625218965029,1.59674525739254e-10,-0.0769333399107621,0.0098101787603299,2.38110162499856e-11,-0.0991801716940526,0.0134742486263655,1.94578956033042e-10,5
"MONG011","noaa-tree-3621.xml",48.15,100.28,1900,1,2,"Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.","Larix sibirica","Larix","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SD020","noaa-tree-3714.xml",45.28,-100.73,501,1,1,"Populus deltoides Bartr. ex Marsh.","Populus deltoides","Populus","Salicaceae","Malpighiales","Angiosperms",-0.144498210245194,0.0194974276056106,9.02709262428012e-11,-0.116662334256891,0.0177657327770611,4.04053507042515e-09,-0.153892269874314,0.0207949606139588,9.47747211518634e-11,6
"AK080","noaa-tree-3881.xml",67.35,-150.05,387,1,2,"Picea mariana (Mill.) Britton, Sterns, & Poggenb.","Picea mariana","Picea","Pinaceae","Pinales","Gymnosperms",-0.0525956528211002,0.0127908509121012,6.52222755676139e-05,-0.0623122177850421,0.0172207482088267,0.000407748616782264,-0.198784147687274,0.0789045469520311,0.0128356601683609,3
"CANA214","noaa-tree-3949.xml",58.9,-111.6,209,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA614","noaa-tree-4809.xml",35.3,-120.27,580,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",-0.12707929152845,0.0357834662893837,0.000718888443756208,-0.139280071099683,0.0349531471771717,0.000173393344558655,-0.149869855227416,0.0568992720039495,0.0105370404020041,4
"CA615","noaa-tree-4832.xml",39.02,-122.82,426,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",0.0768273511435781,0.0148331591668724,1.24456307347161e-06,0.0640062832219877,0.0115826355433592,2.8582307915595e-07,0.103548573338077,0.0193354873977055,5.931934493995e-07,4
"CA616","noaa-tree-4837.xml",37.72,-120.42,274,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",0.0712825368092,0.0131653242722399,2.11017081447973e-07,0.0525752921750766,0.010081579369396,5.38245452372342e-07,0.0938289965519215,0.0157804808676267,1.56291232209423e-08,5
"MEXI029","noaa-tree-4849.xml",16.6,-96.9,1493,1,3,"Taxodium mucronatum Ten.","Taxodium mucronatum","Taxodium","Cupressaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CA626","noaa-tree-4922.xml",36.47,-121.18,350,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",0.104831588036683,0.0679736920502474,0.13130335734502,0.112899181743,0.0651311266272492,0.0911307141036932,0.14602034429701,0.0853349808091868,0.0952073817702211,3
"MEXI037","noaa-tree-4951.xml",19.53,-97.88,3120,3,10,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MO046","noaa-tree-4958.xml",40.48,-95.57,350,1,0,"Quercus macrocarpa Michx.","Quercus macrocarpa","Quercus","Fagaceae","Fagales","Angiosperms",-0.0872817964317776,0.0208779778763883,6.46977014852524e-05,-0.0764456983113774,0.0178717023032324,4.50413944373754e-05,0.830982058566738,0.660239643246724,0.21125666270143,4
"MO045","noaa-tree-4961.xml",37.15,-91.08,280,1,0,"Pinus echinata Mill.","Pinus echinata","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LITH012","noaa-tree-5205.xml",55.97,21.08,12,1,3,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LITH013","noaa-tree-5208.xml",55.43,26.03,140,1,3,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",-0.00846244083591632,0.0149230638869323,0.571353174547056,-0.0119840541011864,0.0092303935087379,0.195791727473259,0.0689662775084287,0.0424591896014289,0.106015273007283,3
"LITH011","noaa-tree-5209.xml",55.07,22.48,25,3,13,"Quercus robur L. = Quercus pendunculata Ehrl.","Quercus robur","Quercus","Fagaceae","Fagales","Angiosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WY028","noaa-tree-5211.xml",43.43,-109.55,2696,1,2,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK054","noaa-tree-5254.xml",63.1,-150,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK048","noaa-tree-5255.xml",67.12,-150.08,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK047","noaa-tree-5256.xml",68.1,-141.1,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK052","noaa-tree-5257.xml",67.13,-152.07,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK049","noaa-tree-5258.xml",67.15,-150.08,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK050","noaa-tree-5259.xml",67.15,-149.13,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK051","noaa-tree-5260.xml",67.15,-149.13,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK056","noaa-tree-5261.xml",63.12,-149,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AK055","noaa-tree-5262.xml",63.08,-148.13,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERM058","noaa-tree-5274.xml",49.18,12.65,500,1,0,"Picea abies (L.) H. Karst.","Picea abies","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GERM057","noaa-tree-5275.xml",49.2,12.38,450,1,0,"Picea abies (L.) H. Karst.","Picea abies","Picea","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO590","noaa-tree-5282.xml",40.67,-105.52,2301,1,3,"Pinus ponderosa Douglas ex C. Lawson","Pinus ponderosa","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO592","noaa-tree-5283.xml",40.42,-105.28,1890,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO594","noaa-tree-5290.xml",38.25,-106.67,2835,1,3,"Pinus ponderosa Douglas ex C. Lawson","Pinus ponderosa","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO595","noaa-tree-5291.xml",39.83,-108.2,2050,1,3,"Pinus edulis Engelm.","Pinus edulis","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO597","noaa-tree-5295.xml",39.6,-105.9,2880,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO600","noaa-tree-5297.xml",38.25,-108.33,1996,1,3,"Pinus edulis Engelm.","Pinus edulis","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO604","noaa-tree-5304.xml",39.85,-106.23,2514,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO607","noaa-tree-5307.xml",40.13,-105.42,2469,1,3,"Pinus ponderosa Douglas ex C. Lawson","Pinus ponderosa","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO608","noaa-tree-5308.xml",39.68,-105.2,1965,1,3,"Pinus ponderosa Douglas ex C. Lawson","Pinus ponderosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.00624024139492219,0.0736275003634907,0.932890380370848,-0.0118187969244619,0.0519209162745535,0.821122484248905,0.0055591611261482,0.0918721042523966,0.952058647472114,3
"CO580","noaa-tree-5310.xml",39,-108.15,2987,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO610","noaa-tree-5314.xml",37.58,-108.58,2195,1,3,"Pinus edulis Engelm.","Pinus edulis","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO611","noaa-tree-5316.xml",39.55,-105.27,2530,1,3,"Pinus ponderosa Douglas ex C. Lawson","Pinus ponderosa","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO613","noaa-tree-5319.xml",40.92,-106.33,2469,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO614","noaa-tree-5320.xml",40.8,-105.18,1859,1,3,"Pinus edulis Engelm.","Pinus edulis","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO619","noaa-tree-5321.xml",40.02,-105.52,2746,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO615","noaa-tree-5322.xml",40.05,-108.3,1900,1,3,"Pinus edulis Engelm.","Pinus edulis","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO588","noaa-tree-5323.xml",37.47,-106.3,2835,1,3,"Pinus ponderosa Douglas ex C. Lawson","Pinus ponderosa","Pinus","Pinaceae","Pinales","Gymnosperms",-0.116689766652296,0.111281626753205,0.299725289295291,-0.0941526565433753,0.0383367213834066,0.0178034072446414,-0.143923082351728,0.0959131898823965,0.140158937244961,4
"CO616","noaa-tree-5324.xml",40.78,-108.97,2133,1,3,"Pinus edulis Engelm.","Pinus edulis","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO617","noaa-tree-5326.xml",38.8,-106.23,2956,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO579","noaa-tree-5327.xml",39.95,-106.52,2195,1,3,"Pinus edulis Engelm.","Pinus edulis","Pinus","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CO620","noaa-tree-5329.xml",38.53,-107.22,2835,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SWED313","noaa-tree-5498.xml",56.77,16.55,30,1,0,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",0.0270611584875844,0.00944469493284761,0.00545836542179697,0.0200813883222945,0.00731499429532704,0.00763033019918794,0.0386561128324164,0.0116749400313987,0.00145509593326647,6
"SWIT183","noaa-tree-5499.xml",46.58,9.4,2000,1,3,"Larix decidua Mill.","Larix decidua","Larix","Pinaceae","Pinales","Gymnosperms",-0.1495000288839,0.0313257905246528,2.56121042490948e-05,-0.165284013446154,0.0348733020407734,2.83858163789069e-05,-0.214053129588972,0.0467039342950216,4.62025011307789e-05,6
"SWIT182","noaa-tree-5500.xml",46.58,9.4,2000,1,3,"Pinus cembra L.","Pinus cembra","Pinus","Pinaceae","Pinales","Gymnosperms",0.0577702289125366,0.0110842679065705,1.20026222616826e-06,0.0386412264567502,0.00830477698116598,1.13391601605643e-05,0.0574979168669424,0.0140033332417984,8.91296753028005e-05,6
"CO635","noaa-tree-5501.xml",40.55,-105.83,3100,1,3,"Abies lasiocarpa (Hook.) Nutt.","Abies lasiocarpa","Abies","Pinaceae","Pinales","Gymnosperms",-0.0470205160120552,0.0229624067283458,0.0491405351211977,-0.0313998843414209,0.0236127577773687,0.193291548435738,-0.0199859724155565,0.0469607491180955,0.673347625988368,3
