"","XML_FileName","Lat","Long","Altitude","RWL_Count","CRN_Count","SpeciesLong","GenusSpp","Genus","Family","Order","Group","ModNegExp","SE_ModNegExp","P_ModNegExp","Mean","SE_Mean","P_Mean","AgeDepSpline","SE_AgeDepSpline","P_AgeDepSpline","N_years"
"AZ559","noaa-tree-2659.xml",32.72,-109.92,3020,1,3,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",-0.00303854155400093,0.00119127853241165,0.0108597898572146,-0.00380293414948494,0.000797921305966149,2.07837135006576e-06,-0.000507741090289102,0.00127901981270517,0.691446324743186,30
"TURK034","noaa-tree-2661.xml",41.5,33,1050,1,1,"Quercus spp. L.","Quercus spp.","Quercus","Fagaceae","Fagales","Angiosperms",-0.0113801028448175,0.000787368141234017,1.91911357246511e-43,-0.0116194298099766,0.000730211812862799,2.05413059616981e-51,-0.0104740566381139,0.000733417397594083,1.55031982798896e-42,30
"SWED312","noaa-tree-2666.xml",60.45,14.73,200,1,0,"Picea abies (L.) H. Karst.","Picea abies","Picea","Pinaceae","Pinales","Gymnosperms",-0.003242486379947,0.000716442345859478,6.47471478616159e-06,-0.0068173011908164,0.000614128315119002,1.31952402714436e-27,0.00330469862291021,0.000750145076680641,1.12816952540473e-05,34
"SWED305","noaa-tree-2667.xml",60.45,14.73,200,1,0,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",-0.00359491100184328,0.00133863551797259,0.00745338456744506,-0.00495648291627383,0.00124083169123649,7.33467050284797e-05,-0.00014222692443492,0.00135034563467632,0.916154004364424,31
"SWED307","noaa-tree-2668.xml",58.95,15.03,130,1,0,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",0.000816664624186282,0.0020544506586908,0.691124391553853,6.70026272549907e-05,0.00169766426193565,0.968529981701717,-0.00328552782558981,0.00161722316406684,0.0426095159469148,33
"CANA200","noaa-tree-2723.xml",57.55,-106.88,510,1,0,"Pinus banksiana Lamb.","Pinus banksiana","Pinus","Pinaceae","Pinales","Gymnosperms",-0.00323994794616388,0.00119768890306205,0.00695718386629916,-0.00507974400313061,0.000838079339863185,1.99217777767819e-09,0.00291524450474642,0.00136489596662911,0.0329614785322996,31
"SWIT179","noaa-tree-2737.xml",46.77,9.82,1800,1,3,"Picea abies (L.) H. Karst.","Picea abies","Picea","Pinaceae","Pinales","Gymnosperms",0.0144409410486193,0.000938210324452484,1.4200590373047e-45,0.0107567926763282,0.000850426244052922,8.10495356422741e-33,0.0116699127472857,0.000840626451525779,2.14575185344045e-38,34
"MONG011","noaa-tree-3621.xml",48.15,100.28,1900,1,2,"Larix sibirica Ledeb. = Larix russica (Endl.) Sabine ex Trautv.","Larix sibirica","Larix","Pinaceae","Pinales","Gymnosperms",-0.0068921561955179,0.00155560363677855,1.04044112191737e-05,-0.00508718782585591,0.00103352908509806,9.96065563834978e-07,-0.0074297528079742,0.00144290127430364,3.1326512554058e-07,30
"SD020","noaa-tree-3714.xml",45.28,-100.73,501,1,1,"Populus deltoides Bartr. ex Marsh.","Populus deltoides","Populus","Salicaceae","Malpighiales","Angiosperms",-0.00585691502309906,0.00174730292282269,0.000847203870222794,-0.00713459344126672,0.00149993231944145,2.40931931873656e-06,-0.00302144792462047,0.00175710057149284,0.0859707102156965,35
"AK080","noaa-tree-3881.xml",67.35,-150.05,387,1,2,"Picea mariana (Mill.) Britton, Sterns, & Poggenb.","Picea mariana","Picea","Pinaceae","Pinales","Gymnosperms",-0.00402929797324573,0.000885499496276579,5.63113612090568e-06,0.0015127210173604,0.00109069277417923,0.165593673571715,-0.000115536489927266,0.000855187696522459,0.892543870224422,32
"CANA214","noaa-tree-3949.xml",58.9,-111.6,209,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.00277651944582963,0.0015923825682278,0.08161681969525,0.00233910247802162,0.00152561242365134,0.12562510287166,0.00735585272288739,0.00153419722588164,1.95099007519181e-06,29
"CA614","noaa-tree-4809.xml",35.3,-120.27,580,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",0.0125689443906673,0.00136225141337284,6.1737461373876e-20,0.00827175979583636,0.00117752741544348,2.82060846746665e-12,0.0111974169644351,0.00128722393121807,6.29275754041929e-18,33
"CA615","noaa-tree-4832.xml",39.02,-122.82,426,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",0.0078764982652652,0.000840418090231987,1.53614764828725e-20,0.00502538617976913,0.000741637229775065,1.53432998242162e-11,0.00606821090881352,0.000787631978857484,1.88127377723327e-14,33
"CA616","noaa-tree-4837.xml",37.72,-120.42,274,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",0.00615560917138583,0.000897178093489799,9.38871253162673e-12,0.00167587196610819,0.000733258306720477,0.0223993549374817,0.00771887758361128,0.000897603965889898,1.72124310363027e-17,34
"MEXI029","noaa-tree-4849.xml",16.6,-96.9,1493,1,3,"Taxodium mucronatum Ten.","Taxodium mucronatum","Taxodium","Cupressaceae","Pinales","Gymnosperms",0.00191215392207061,0.00191591945069526,0.318455733303793,-0.00157110094043153,0.00151008812121461,0.298353674385865,-0.000414655904170885,0.00183681611124885,0.821435029149044,29
"CA626","noaa-tree-4922.xml",36.47,-121.18,350,1,3,"Quercus douglasii Hook. and Arn.","Quercus douglasii","Quercus","Fagaceae","Fagales","Angiosperms",0.0065032469661633,0.0017478465878676,0.000204376666368411,0.00569969899247134,0.00153533662466728,0.000211210963814026,0.0035840965121452,0.00149870030943924,0.0168769530593447,32
"MEXI037","noaa-tree-4951.xml",19.53,-97.88,3120,3,10,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",0.00468021557859651,0.00111475831135307,2.77181861032408e-05,-0.00341378050464942,0.000651032103730149,1.69182042155673e-07,0.00638257099851299,0.00106557237377414,2.36968253784781e-09,29
"MO046","noaa-tree-4958.xml",40.48,-95.57,350,1,0,"Quercus macrocarpa Michx.","Quercus macrocarpa","Quercus","Fagaceae","Fagales","Angiosperms",-0.00422413969037786,0.000898687840910062,2.88558500951881e-06,-0.00692723580934498,0.000773737679296622,1.22675602263778e-18,0.00128627503112794,0.0011281702146358,0.254445617390371,33
"MO045","noaa-tree-4961.xml",37.15,-91.08,280,1,0,"Pinus echinata Mill.","Pinus echinata","Pinus","Pinaceae","Pinales","Gymnosperms",7.81741637458799e-05,0.00139657939504603,0.955371266542745,-0.00436897770056925,0.00117648599738442,0.000214330678428344,0.00864575692566858,0.0014679069528635,5.094473456317e-09,31
"LITH012","noaa-tree-5205.xml",55.97,21.08,12,1,3,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",-0.00102067247753167,0.00104490309787664,0.328864994074129,-0.0042738736681566,0.000560241254293583,4.89985005983956e-14,0.01408715399765,0.00206045082371697,1.30051192261177e-11,31
"LITH013","noaa-tree-5208.xml",55.43,26.03,140,1,3,"Pinus sylvestris L.","Pinus sylvestris","Pinus","Pinaceae","Pinales","Gymnosperms",0.00384002826256572,0.000666496350656786,9.21773073188353e-09,-0.002154747431245,0.000462496116264454,3.32236556503061e-06,0.0114570913296922,0.000764398010327104,5.83411733327514e-49,32
"LITH011","noaa-tree-5209.xml",55.07,22.48,25,3,13,"Quercus robur L. = Quercus pendunculata Ehrl.","Quercus robur","Quercus","Fagaceae","Fagales","Angiosperms",-0.0116839713587555,0.00112070029581573,1.6855366308793e-23,-0.0134735667839477,0.00100845748389751,8.015600453591e-36,-0.00654954780504829,0.00115103430299012,1.98746598273891e-08,31
"WY028","noaa-tree-5211.xml",43.43,-109.55,2696,1,2,"Pseudotsuga menziesii (Mirb.) Franco","Pseudotsuga menziesii","Pseudotsuga","Pinaceae","Pinales","Gymnosperms",0.00326986220296952,0.00185413919757144,0.0781509226605916,-0.000122083978019658,0.00123232209362539,0.921106374310423,0.00455515929710939,0.00186186224207012,0.0146149703237788,29
"AK054","noaa-tree-5254.xml",63.1,-150,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.0125780482727894,0.000670350793885408,4.09183882240231e-74,0.0151542805747218,0.000735003873697241,4.33232609107155e-88,0.0178986837550053,0.00293155162621762,1.16520687719428e-09,29
"AK048","noaa-tree-5255.xml",67.12,-150.08,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.00600533490918974,0.00110052400794193,5.40386521343006e-08,0.00499755128887575,0.00105530685184026,2.32554636387197e-06,0.00180741253219675,0.000853496206914663,0.0343181699926968,30
"AK047","noaa-tree-5256.xml",68.1,-141.1,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",-0.00407521950808222,0.00170773591204957,0.0174048671408795,-0.00111785256086787,0.00228856839424487,0.625454256292593,-0.00270150021978103,0.00147196003519983,0.0670798785697802,31
"AK052","noaa-tree-5257.xml",67.13,-152.07,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.00188589349810113,0.000526549635698393,0.00034439758670423,0.00118198991656698,0.000486333652627073,0.0151130901925852,0.000744289000489062,0.000474722403631747,0.116975078060656,31
"AK049","noaa-tree-5258.xml",67.15,-150.08,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.011201601273769,0.000676933444648002,8.48001444923442e-59,0.0141978052202433,0.000768011471492536,3.73895207561157e-72,0.0103722143707441,0.000640294671270979,1.58989211998418e-56,30
"AK050","noaa-tree-5259.xml",67.15,-149.13,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.00813597238602604,0.00161487893640933,4.89682815995605e-07,0.013382831969142,0.00164991632959371,6.50277937162046e-16,0.00613753036419272,0.000657641268085355,1.62241605576095e-20,29
"AK051","noaa-tree-5260.xml",67.15,-149.13,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.0348351161543771,0.000994348773692038,1.36928680415092e-182,0.0282125507587452,0.000904280894642249,1.3142336470103e-154,0.0339962772056965,0.000986429445416209,1.94992116366263e-178,30
"AK056","noaa-tree-5261.xml",63.12,-149,100,1,0,"Picea glauca (Moench) Voss","Picea glauca","Picea","Pinaceae","Pinales","Gymnosperms",0.0125780482727894,0.000670350793885408,4.09183882240231e-74,0.0151542805747218,0.000735003873697241,4.33232609107155e-88,0.0178986837550053,0.00293155162621762,1.16520687719428e-09,29
